日期,車輛,任務,出發時間,返回時間,里程
2031-01-01,M-2000,地表採樣,00:00-06:00,00:00-06:00,140
2031-02-02,MX2001,物資盤點,00:00-06:00,00:00-06:00,370
2031-03-03,M-2002,地表採樣,12:00-18:00,00:00-06:00,399
2031-04-04,MX2003,設備巡檢,00:00-06:00,06:00-12:00,126
2031-05-05,M-2004,通訊校準,06:00-12:00,00:00-06:00,291
2031-06-06,MX2005,溫室維護,00:00-06:00,12:00-18:00,370
2031-07-07,MX2006,溫室維護,12:00-18:00,06:00-12:00,178
2031-08-08,M2007,艙外維修,06:00-12:00,06:00-12:00,448
2031-09-09,M-2008,設備巡檢,06:00-12:00,12:00-18:00,318
2031-10-10,M2009,地表採樣,06:00-12:00,00:00-06:00,218
2031-11-11,MX2010,物資盤點,00:00-06:00,12:00-18:00,58
2031-12-12,M-2011,物資盤點,06:00-12:00,12:00-18:00,50
2031-01-13,MX2012,溫室維護,00:00-06:00,12:00-18:00,193
2031-02-14,M2013,艙外維修,00:00-06:00,00:00-06:00,378
2031-03-15,M-2014,通訊校準,06:00-12:00,00:00-06:00,353
2031-04-16,M-2015,通訊校準,12:00-18:00,00:00-06:00,348
2031-05-17,MX2016,地表採樣,12:00-18:00,06:00-12:00,477
2031-06-18,M2017,設備巡檢,00:00-06:00,06:00-12:00,445
2031-07-19,MX2018,物資盤點,12:00-18:00,00:00-06:00,105
2031-08-20,M-2019,地表採樣,12:00-18:00,06:00-12:00,210
2031-09-21,M-2020,物資盤點,00:00-06:00,12:00-18:00,32
2031-10-22,M-2021,地表採樣,06:00-12:00,06:00-12:00,408
2031-11-23,MX2022,通訊校準,00:00-06:00,12:00-18:00,126
2031-12-24,M2023,溫室維護,00:00-06:00,06:00-12:00,244
2031-01-25,MX2024,溫室維護,06:00-12:00,00:00-06:00,122
2031-02-26,MX2025,艙外維修,00:00-06:00,06:00-12:00,343
2031-03-27,M2026,地表採樣,12:00-18:00,00:00-06:00,384
2031-04-28,MX2027,艙外維修,06:00-12:00,00:00-06:00,293
2031-05-01,M-2028,地表採樣,00:00-06:00,12:00-18:00,86
2031-06-02,M2029,通訊校準,00:00-06:00,06:00-12:00,293
2031-08-04,M2031,物資盤點,00:00-06:00,06:00-12:00,365
2031-09-05,M2032,艙外維修,06:00-12:00,06:00-12:00,271
2031-10-06,M2033,通訊校準,06:00-12:00,06:00-12:00,344
2031-11-07,M2034,物資盤點,06:00-12:00,06:00-12:00,477
2031-12-08,M2035,物資盤點,00:00-06:00,06:00-12:00,479
2031-01-09,M2036,通訊校準,06:00-12:00,00:00-06:00,378
